Volatility 3 Framework 2.21.0

Offset	Name
0x850baefe19c0	\Windows\SysWOW64\bcrypt.dll
0x850baefe1b50	\Windows\SysWOW64\imm32.dll
0x850baefe1ce0	\Windows\SysWOW64\GdiPlus.dll
0x850baefe1e70	\Windows\SysWOW64\comdlg32.dll
0x850baeff60c0	\$BitMap
0x850baeff6510	\$Extend\$Deleted:$I30:$INDEX_ALLOCATION
0x850baeff6680	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventlog-Security.etl
0x850baeff6960	\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
0x850baeff6db0	\:$I30:$INDEX_ALLOCATION
0x850baeff7200	\$MftMirr
0x850baeff7370	\$Secure:$SII:$INDEX_ALLOCATION
0x850baeff77c0	\$Mft::$BITMAP
0x850baeff7930	\$Secure:$SDS:$DATA
0x850baeff7aa0	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000001
0x850baeff7c10	\$Extend:$I30:$INDEX_ALLOCATION
0x850baeff7d80	\$Extend\$RmMetadata\$Repair
0x850baeff8060	\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000002
0x850baeff8340	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x850baeff8790	\$LogFile
0x850baeff8d50	\$Mft
0x850baeff8ec0	\:$I30:$INDEX_ALLOCATION
0x850baeff91a0	KtmLog
0x850baeff9480	\$Extend\$RmMetadata\$TxfLog\$Tops:$T:$DATA
0x850baeff95f0	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x850baeff9760	\$Directory
0x850baeff98d0	\Windows\System32\LogFiles\WMI\Microsoft-Windows-Rdp-Graphics-RdpIdd-Trace.etl
0x850baeff9a40	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl
0x850baeff9bb0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl
0x850baeff9d20	\$Extend\$RmMetadata\$TxfLog\$Tops
0x850baeffa170	TxfLog
0x850baeffa2e0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl
0x850baeffa450	\$Extend\$RmMetadata\$Txf:$I30:$INDEX_ALLOCATION
0x850baeffa5c0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderAuditLogger.etl
0x850baeffa730	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl
0x850baeffa8a0	\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDefenderApiLogger.etl
0x850baeffaa10	\Windows\System32\LogFiles\WMI\RadioMgr.etl
0x850baeffab80	\Windows\System32\LogFiles\WMI\LwtNetLog.etl
0x850baeffacf0	\$Directory
0x850baeffae60	\$Directory
0x850baeffb2b0	\Device\HarddiskVolume4\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x850baeffb420	\Windows\System32\LogFiles\WMI\NetCore.etl
0x850baeffb590	\Windows\System32\LogFiles\WMI\NtfsLog.etl
0x850baeffb700	\$Directory
0x850baeffb870	\Windows\System32\WDI\LogFiles\WdiContextLog.etl.001
0x850baeffb9e0	\$Secure:$SDH:$INDEX_ALLOCATION
0x850baeffbb50	\Windows\System32\LogFiles\WMI\Wifi.etl
0x850baeffc9b0	\$Directory
0x850baeffd6a0	\Windows\System32\drivers\HdAudio.sys
0x850baeffddd0	\Windows\System32\drivers\ksthunk.sys
0x850baeffe250	\Windows\System32\autochk.exe
0x850baeffe570	\Sessions
0x850baeffea20	\swapfile.sys
0x850baeffeed0	\Windows\bootstat.dat
0x850baefff380	\EFI\Microsoft\Boot\BCD
0x850baefff510	\Windows\System32\config\SOFTWARE
0x850baefff830	\Windows\System32\config\SYSTEM
0x850baefffb50	\EFI\Microsoft\Boot\BCD.LOG
0x850bb109e3a0	\Windows\System32\drivers\hidparse.sys
0x850bb109e680	\Windows\System32\drivers\mouhid.sys
0x850bb109edb0	\SystemRoot\System32\Config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM
0x850bb109f200	\$Directory
0x850bb109f370	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000001.regtrans-ms
0x850bb109f4e0	\SystemRoot\System32\Config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM
0x850bb10a01d0	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TMContainer00000000000000000002.regtrans-ms
0x850bb10a04b0	\Windows\System32\drivers\usbccgp.sys
0x850bb10a0620	\Windows\System32\config\TxR\{53b39e3e-18c4-11ea-a811-000d3aa4692b}.TM.blf
0x850bb10a0790	\Windows\System32\drivers\hidusb.sys
0x850bb10a0900	\Windows\apppatch\drvmain.sdb
0x850bb10a0be0	\Windows\System32\drivers\hidclass.sys
0x850bb10a15f0	\Windows\System32\drivers\BTHUSB.SYS
0x850bb10a25c0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package0511~31bf3856ad364e35~amd64~~10.0.19041.5369.cat
0x850bb10a2cf0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package0516~31bf3856ad364e35~amd64~~10.0.19041.3803.cat
0x850bb10aa3e0	\pagefile.sys
0x850bb10aa570	\DumpStack.log.tmp
0x850bb10aaa20	\$Directory
0x850bb10aabb0	\Windows\System32\config\SOFTWARE.LOG1
0x850bb10aad40	\Windows\System32\config\SOFTWARE.LOG2
0x850bb10ab380	\Windows\System32\config\SYSTEM.LOG2
0x850bb10ab6a0	\Windows\System32\wcmcsp.dll
0x850bb10ab830	\Windows\System32
0x850bb10abb50	\Windows\System32\config\SYSTEM.LOG1
0x850bb10abce0	\Windows\System32\win32k.sys
0x850bb10abe70	\Windows\System32\profapi.dll
0x850bb18ef0d0	\Windows\System32\config\DEFAULT.LOG1
0x850bb18ef260	\CMApi
0x850bb18ef3f0	\Windows\System32\csrsrv.dll
0x850bb18ef580	\Windows\System32\en-US\winsrv.dll.mui
0x850bb18ef710	\Windows\System32\drivers\dxgmms1.sys
0x850bb18efa30	\Windows\Cursors\aero_helpsel.cur
0x850bb18efbc0	\Windows\System32\wininit.exe
0x850bb18efd50	\Windows\System32\sxssrv.dll
0x850bb18efee0	\Windows\System32\FNTCACHE.DAT
0x850bb18f0390	\Windows\System32
0x850bb18f06b0	\Windows\System32\en-US\win32kbase.sys.mui
0x850bb18f0840	\Windows\System32\locale.nls
0x850bb18f09d0	\Windows\System32\winsrvext.dll
0x850bb18f0b60	\Windows\System32\config\DEFAULT
0x850bb18f0cf0	\Windows\System32\en-US\csrss.exe.mui
0x850bb18f0e80	\Sessions\0\AppContainerNamedObjects
0x850bb18f11a0	\Windows\System32\config\DEFAULT.LOG2
0x850bb18f1330	\Windows\System32\drivers\dxgmms2.sys
0x850bb18f14c0	\$Directory
0x850bb18f1650	\Windows\System32\basesrv.dll
0x850bb18f17e0	\Windows\System32\win32kfull.sys
0x850bb18f1b00	\Windows\System32\winsrv.dll
0x850bb18f1c90	\Windows\System32\win32kbase.sys
0x850bb18f2140	\Windows\System32\csrss.exe
0x850bb18f2460	\Windows\System32\csrss.exe
0x850bb18f25f0	\Sessions\1\AppContainerNamedObjects
0x850bb18f2780	\Endpoint
0x850bb18f2aa0	\Windows\System32
0x850bb18f2c30	\CMApi
0x850bb18f2dc0	\Windows\System32
0x850bb19fc260	\Windows\System32\winlogon.exe
0x850bb19fc3f0	\Windows\System32
0x850bb19fc580	\Windows\System32\powrprof.dll
0x850bb19fc710	\$Directory
0x850bb19fc8a0	\Windows\System32\en-US\user32.dll.mui
0x850bb19fca30	\Windows\Cursors\aero_arrow.cur
0x850bb19fcbc0	\Windows\Cursors\aero_busy.ani
0x850bb19fcd50	\Windows\System32\umpdc.dll
0x850bb19fcee0	\Windows\System32\sspicli.dll
0x850bb19fd200	\Windows\Cursors\aero_up.cur
0x850bb19fd390	\Windows\Cursors\aero_nwse.cur
0x850bb19fd520	\Windows\System32\KBDUS.DLL
0x850bb19fd6b0	\Windows\Cursors\aero_ew.cur
0x850bb19fd840	\Windows\Cursors\aero_nesw.cur
0x850bb19fd9d0	\Windows\Cursors\aero_ns.cur
0x850bb19fde80	\Windows\System32\KBDUS.DLL
0x850bb19fe330	\Windows\System32\cdd.dll
0x850bb19fe4c0	\Windows\System32\wininitext.dll
0x850bb19fe650	\Windows\System32\userenv.dll
0x850bb19fe7e0	\Windows\System32\en-US\wininit.exe.mui
0x850bb19fe970	\Windows\System32\en-US\user32.dll.mui
0x850bb19ff2d0	\Windows\System32\samsrv.dll
0x850bb19ff780	\Windows\Cursors\aero_move.cur
0x850bb19ff910	\Windows\Cursors\aero_unavail.cur
0x850bb19ffaa0	\Windows\Cursors\aero_working.ani
0x850bb19ffc30	\Windows\System32\imm32.dll
0x850bb19ffdc0	\Windows\System32\en-US\winlogon.exe.mui
0x850bb1bfb0d0	\Windows\WinSxS\Manifests\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_5.82.19041.1_en-us_6144a36069349598.manifest
0x850bb1bfb260	\Windows\System32\lsass.exe
0x850bb1bfb3f0	\Windows\Cursors\aero_pen.cur
0x850bb1bfb580	\Windows\System32\winsta.dll
0x850bb1bfb710	\Endpoint
0x850bb1bfb8a0	\Windows\System32
0x850bb1bfba30	\Windows\System32\EventAggregation.dll
0x850bb1bfbbc0	\CMApi
0x850bb1bfbd50	\Windows\System32\lsasrv.dll
0x850bb1bfbee0	\Windows\System32\msasn1.dll
0x850bb1bfc200	\InitShutdown
0x850bb1bfc390	\$Directory
0x850bb1bfc520	\Windows\WinSxS\Manifests\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.19041.3636_none_7931fb75243f97c8.manifest
0x850bb1bfc6b0	\Windows\System32\sxs.dll
0x850bb1bfc840	\Windows\Cursors\aero_link.cur
0x850bb1bfc9d0	\InitShutdown
0x850bb1bfcb60	\InitShutdown
0x850bb1bfce80	\Windows\WinSxS\Manifests\amd64_microsoft.windows.i..utomation.proxystub_6595b64144ccf1df_1.0.19041.3636_none_bbb9a0f0ff4b8f11.manifest
0x850bb1bfd1a0	\$Directory
0x850bb1bfd4c0	\Windows\System32
0x850bb1bfd650	\Windows\WinSxS\Manifests\amd64_microsoft.windows.isolationautomation_6595b64144ccf1df_1.0.19041.3636_none_12424fbda04174fd.manifest
0x850bb1bfd7e0	\Windows\System32\services.exe
0x850bb1bfd970	\Windows\WinSxS\Manifests\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.19041.3636_none_91a19322cc8a92a3.manifest
0x850bb1bfdc90	\Windows\System32\dpapi.dll
0x850bb1bfde20	\Windows\System32\devobj.dll
0x850bb1bfe140	\Windows\WinSxS\Manifests\amd64_microsoft.windows.systemcompatible_6595b64144ccf1df_6.0.19041.1_none_bcf22701031bcbf3.manifest
0x850bb1bfe460	\Windows\System32\en-US\lsasrv.dll.mui
0x850bb1bfe780	\Windows\System32\ncrypt.dll
0x850bb1bfec30	\Windows\System32\ntasn1.dll
0x850bb1bfedc0	\Windows\System32\wldp.dll
0x850bb1c8a3a0	\Windows\System32\drivers\bthpan.sys
0x850bb1c8b090	\Windows\System32\drivers\rfcomm.sys
0x850bb1c8b4e0	\Windows\System32\drivers\bthenum.sys
0x850bb1c8c340	\Windows\System32\drivers\monitor.sys
0x850bb1c8dd20	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package05114~31bf3856ad364e35~amd64~~10.0.19041.3758.cat
0x850bb1cc4260	\Windows\System32\netprovfw.dll
